שם תחנה,מספר תחנה,תאריך,טמפרטורת מקסימום(C°),טמפרטורת מינימום(C°),טמפרטורת מינימום ליד הקרקע(C°)
בית דגן                                           ,2523,12-03-2005,16.5,9.0,-
בית דגן                                           ,2523,13-03-2005,17.0,8.9,-
בית דגן                                           ,2523,14-03-2005,17.4,6.5,6.2
בית דגן                                           ,2523,15-03-2005,17.4,8.2,7.9
בית דגן                                           ,2523,16-03-2005,19.5,8.1,7.8
בית דגן                                           ,2523,17-03-2005,20.1,6.6,5.7
בית דגן                                           ,2523,18-03-2005,21.1,5.8,5.2
בית דגן                                           ,2523,19-03-2005,19.6,7.9,6.1
בית דגן                                           ,2523,20-03-2005,21.7,5.4,4.0
בית דגן                                           ,2523,21-03-2005,19.8,10.2,9.2
בית דגן                                           ,2523,22-03-2005,19.0,10.9,9.7
בית דגן                                           ,2523,23-03-2005,19.9,11.3,11.1
בית דגן                                           ,2523,24-03-2005,19.6,10.7,9.5
בית דגן                                           ,2523,25-03-2005,18.8,5.6,4.6
בית דגן                                           ,2523,26-03-2005,21.2,5.7,5.1
בית דגן                                           ,2523,27-03-2005,20.9,8.8,8.3
בית דגן                                           ,2523,28-03-2005,21.1,7.4,6.6
בית דגן                                           ,2523,29-03-2005,23.3,8.5,7.7
בית דגן                                           ,2523,30-03-2005,22.1,10.3,9.3
בית דגן                                           ,2523,31-03-2005,34.1,9.4,8.8
בית דגן                                           ,2523,01-04-2005,24.7,12.8,11.2
בית דגן                                           ,2523,02-04-2005,20.0,14.3,14.4
בית דגן                                           ,2523,03-04-2005,18.8,12.8,12.9
בית דגן                                           ,2523,04-04-2005,18.3,11.3,10.6
בית דגן                                           ,2523,05-04-2005,19.5,6.7,5.7
בית דגן                                           ,2523,06-04-2005,19.3,6.7,6.4
בית דגן                                           ,2523,07-04-2005,29.2,6.8,6.4
בית דגן                                           ,2523,08-04-2005,32.1,19.4,17.9
בית דגן                                           ,2523,09-04-2005,22.4,13.7,13.2
בית דגן                                           ,2523,10-04-2005,30.2,13.3,12.6
בית דגן                                           ,2523,11-04-2005,32.7,12.6,11.3
בית דגן                                           ,2523,12-04-2005,36.2,15.1,12.9
בית דגן                                           ,2523,13-04-2005,28.7,18.3,16.6
בית דגן                                           ,2523,14-04-2005,22.9,16.8,16.6
בית דגן                                           ,2523,15-04-2005,21.2,10.0,9.6
בית דגן                                           ,2523,16-04-2005,21.1,11.2,10.7
בית דגן                                           ,2523,17-04-2005,23.4,10.9,10.6
בית דגן                                           ,2523,18-04-2005,32.6,12.3,11.9
בית דגן                                           ,2523,19-04-2005,25.1,15.8,14.8
בית דגן                                           ,2523,20-04-2005,26.2,12.9,12.9
בית דגן                                           ,2523,21-04-2005,30.3,15.9,15.4
בית דגן                                           ,2523,22-04-2005,33.9,22.8,21.3
בית דגן                                           ,2523,23-04-2005,27.7,19.7,19.4
בית דגן                                           ,2523,24-04-2005,21.5,17.5,17.0
בית דגן                                           ,2523,25-04-2005,21.7,11.4,10.5
בית דגן                                           ,2523,26-04-2005,22.7,13.2,13.0
בית דגן                                           ,2523,27-04-2005,24.2,11.4,10.8
בית דגן                                           ,2523,28-04-2005,25.8,12.0,11.4
בית דגן                                           ,2523,29-04-2005,23.1,11.9,11.7
בית דגן                                           ,2523,30-04-2005,23.6,12.3,12.2
בית דגן                                           ,2523,01-05-2005,23.1,11.7,11.1
בית דגן                                           ,2523,02-05-2005,22.3,12.2,12.1
בית דגן                                           ,2523,03-05-2005,22.9,13.9,13.8
בית דגן                                           ,2523,04-05-2005,21.9,13.6,13.3
בית דגן                                           ,2523,05-05-2005,23.2,9.5,9.0
בית דגן                                           ,2523,06-05-2005,26.7,10.2,9.6
בית דגן                                           ,2523,07-05-2005,30.6,12.2,11.7
בית דגן                                           ,2523,08-05-2005,26.3,15.3,14.6
בית דגן                                           ,2523,09-05-2005,23.6,13.3,12.7
בית דגן                                           ,2523,10-05-2005,22.4,11.3,10.9
בית דגן                                           ,2523,11-05-2005,22.6,17.8,16.8
בית דגן                                           ,2523,12-05-2005,24.1,16.6,-
בית דגן                                           ,2523,13-05-2005,26.2,17.2,16.7
בית דגן                                           ,2523,14-05-2005,29.1,13.8,13.0
בית דגן                                           ,2523,15-05-2005,26.7,16.9,16.7
בית דגן                                           ,2523,16-05-2005,26.4,16.1,15.4
בית דגן                                           ,2523,17-05-2005,25.3,14.9,14.6
בית דגן                                           ,2523,18-05-2005,26.5,16.4,15.8
בית דגן                                           ,2523,19-05-2005,28.6,16.5,15.8
בית דגן                                           ,2523,20-05-2005,31.3,16.9,16.1
בית דגן                                           ,2523,21-05-2005,28.0,15.6,15.1
בית דגן                                           ,2523,22-05-2005,25.4,18.3,18.0
בית דגן                                           ,2523,23-05-2005,24.9,17.3,16.5
בית דגן                                           ,2523,24-05-2005,25.4,16.0,15.6
בית דגן                                           ,2523,25-05-2005,25.7,17.3,16.8
בית דגן                                           ,2523,26-05-2005,29.4,14.1,13.5
בית דגן                                           ,2523,27-05-2005,26.7,18.9,17.1
בית דגן                                           ,2523,28-05-2005,29.0,16.6,16.2
בית דגן                                           ,2523,29-05-2005,28.7,16.9,16.0
