"household_questionnaire_id","time_to_irrigate_1_katha__p_1","year","district","p1_s","p2_s","p3_s","p1_m","p2_m","p3_m","p1_w","p2_w","p3_w","p123_s","p123_m","p123_w","p123_year","TreatmentControl","TC"
"T109202002",60,2017,"Saptari",7.5,NA,NA,28,NA,NA,14,NA,NA,7.5,28,14,49.5,"Control",NA
"T203907006",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210703008",60,2017,"Saptari",22.5,NA,NA,35,NA,NA,21,NA,NA,22.5,35,21,78.5,"Control",NA
"T110502004",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T204807001",30,2017,"Saptari",12.5,NA,NA,10,NA,NA,3,NA,NA,12.5,10,3,25.5,"Control",NA
"T103209004",150,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"C001401001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210709003",120,2017,"Saptari",NA,35,NA,NA,80,NA,NA,17.5,NA,35,80,17.5,132.5,"Treatment",1
"T210407003",70,2017,"Saptari",80,NA,NA,180,NA,NA,42,NA,NA,80,180,42,302,"Control",NA
"T104201003",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109205004",120,2017,"Saptari",NA,75,NA,NA,70,NA,NA,36,NA,75,70,36,181,"Treatment",1
"T109203003",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T109201006",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210405002",60,2017,"Saptari",12,NA,NA,35,NA,NA,17.5,NA,NA,12,35,17.5,64.5,"Control",NA
"T203908005",60,2017,"Saptari",10,NA,NA,15,NA,NA,27,NA,NA,10,15,27,52,"Control",NA
"T203900307",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T106604005",180,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T203901004",90,2017,"Saptari",24,NA,NA,42,NA,NA,60,NA,NA,24,42,60,126,"Control",NA
"C001401004",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T104203004",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T110502003",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA
"T210708002",120,2017,"Saptari",NA,NA,56,NA,NA,39,NA,NA,196,56,39,196,291,"Treatment",1
"T203908001",120,2017,"Saptari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Treatment",1
"T203903003",90,2017,"Saptari",20,NA,NA,45,NA,NA,40,NA,NA,20,45,40,105,"Control",NA
"T206702001",60,2017,"Saptari",NA,NA,NA,75,NA,NA,NA,NA,NA,NA,75,NA,75,"Control",NA
